"cbsa10","cbsaname10","intptlon","intptlat","pop10","afact"
"CBSA (2010)","2010 CBSA name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Population (2010)","_us_ to cbsa10 allocation factor"
"21020","Elizabeth City, NC Micropolitan Statistical Area",-76.275227,36.280722,64094,0.000208 
"21060","Elizabethtown, KY Metropolitan Statistical Area",-85.894097,37.722192,119736,0.000388 
"21120","Elk City, OK Micropolitan Statistical Area",-99.512386,35.361391,22119,0.000072 
"21140","Elkhart-Goshen, IN Metropolitan Statistical Area",-85.906755,41.63768,197559,0.00064 
"21220","Elko, NV Micropolitan Statistical Area",-115.543114,40.831641,50805,0.000165 
"21260","Ellensburg, WA Micropolitan Statistical Area",-120.624252,47.047742,40915,0.000133 
"21300","Elmira, NY Metropolitan Statistical Area",-76.813054,42.118263,88830,0.000288 
"21340","El Paso, TX Metropolitan Statistical Area",-106.376011,31.782046,800647,0.002593 
"21380","Emporia, KS Micropolitan Statistical Area",-96.20881,38.411733,36480,0.000118 
"21420","Enid, OK Micropolitan Statistical Area",-97.883789,36.398165,60580,0.000196 
"21460","Enterprise-Ozark, AL Micropolitan Statistical Area",-85.772601,31.368933,100199,0.000325 
"21500","Erie, PA Metropolitan Statistical Area",-80.071687,42.068054,280566,0.000909 
"21540","Escanaba, MI Micropolitan Statistical Area",-87.06633,45.802381,37069,0.00012 
"21580","Espanola, NM Micropolitan Statistical Area",-106.205854,36.201002,40246,0.00013 
"21640","Eufaula, AL-GA Micropolitan Statistical Area",-85.290459,31.845323,29970,0.000097 
"21660","Eugene-Springfield, OR Metropolitan Statistical Area",-123.117386,44.038338,351715,0.001139 
"21700","Eureka-Arcata-Fortuna, CA Micropolitan Statistical Area",-124.087225,40.752982,134623,0.000436 
"21740","Evanston, WY Micropolitan Statistical Area",-110.767448,41.271861,21118,0.000068 
"21780","Evansville, IN-KY Metropolitan Statistical Area",-87.54452,37.987603,358676,0.001162 
"21820","Fairbanks, AK Metropolitan Statistical Area",-147.624384,64.831553,97581,0.000316 
"21860","Fairmont, MN Micropolitan Statistical Area",-94.511491,43.665285,20840,0.000067 
"21900","Fairmont, WV Micropolitan Statistical Area",-80.181628,39.48613,56418,0.000183 
"21980","Fallon, NV Micropolitan Statistical Area",-118.795672,39.473584,24877,0.000081 
"22020","Fargo, ND-MN Metropolitan Statistical Area",-96.808021,46.859798,208777,0.000676 
"22060","Faribault-Northfield, MN Micropolitan Statistical Area",-93.260329,44.370592,64142,0.000208 
"22100","Farmington, MO Micropolitan Statistical Area",-90.492287,37.835574,65359,0.000212 
"22140","Farmington, NM Metropolitan Statistical Area",-108.220504,36.72194,130044,0.000421 
"22180","Fayetteville, NC Metropolitan Statistical Area",-78.967022,35.047924,366383,0.001187 
